_id;count;language
MDg6TGFuZ3VhZ2UxNzA=;4;{'_id': ObjectId('645cc0cb2eba3facb61802e0'), 'id': 'MDg6TGFuZ3VhZ2UxNzA=', 'name': 'Nu'}
MDg6TGFuZ3VhZ2UyMzU=;4;{'_id': ObjectId('645c91c92eba3facb617ff51'), 'id': 'MDg6TGFuZ3VhZ2UyMzU=', 'name': 'Racket'}
MDg6TGFuZ3VhZ2U0Mzc=;4;{'_id': ObjectId('645cbd722eba3facb618023c'), 'id': 'MDg6TGFuZ3VhZ2U0Mzc=', 'name': 'Gettext Catalog'}
MDg6TGFuZ3VhZ2U3MDc=;4;{'_id': ObjectId('645d2419f6f82148bbf553f2'), 'id': 'MDg6TGFuZ3VhZ2U3MDc=', 'name': 'Dhall'}
MDg6TGFuZ3VhZ2UyNTQ=;4;{'_id': ObjectId('645e96cbba1370123db3fc3b'), 'id': 'MDg6TGFuZ3VhZ2UyNTQ=', 'name': 'AutoHotkey'}
MDg6TGFuZ3VhZ2U2ODg=;3;{'_id': ObjectId('645c7a68cae6600fd980b951'), 'id': 'MDg6TGFuZ3VhZ2U2ODg=', 'name': 'HAProxy'}
MDg6TGFuZ3VhZ2U3ODg=;3;{'_id': ObjectId('646191d2ca0efcf2a2c0b1b8'), 'id': 'MDg6TGFuZ3VhZ2U3ODg=', 'name': 'jq'}
MDg6TGFuZ3VhZ2U0Mjc=;3;{'_id': ObjectId('645d1f4df6f82148bbf553c5'), 'id': 'MDg6TGFuZ3VhZ2U0Mjc=', 'name': 'Liquid'}
MDg6TGFuZ3VhZ2U3OTI=;3;{'_id': ObjectId('645d774ef6f82148bbf5595e'), 'id': 'MDg6TGFuZ3VhZ2U3OTI=', 'name': 'FreeBasic'}
MDg6TGFuZ3VhZ2U0MjU=;3;{'_id': ObjectId('645c91c32eba3facb617ff4b'), 'id': 'MDg6TGFuZ3VhZ2U0MjU=', 'name': 'QML'}
LAN_kgDNA2c;3;{'_id': ObjectId('645de4f4f6f82148bbf56352'), 'id': 'LAN_kgDNA2c', 'name': 'Adblock Filter List'}
LAN_kgDNA3c;3;{'_id': ObjectId('645ed7f7ba1370123db3febb'), 'id': 'LAN_kgDNA3c', 'name': 'OASv2-yaml'}
LAN_kgDNA2E;3;{'_id': ObjectId('645d6270f6f82148bbf55764'), 'id': 'LAN_kgDNA2E', 'name': 'MiniYAML'}
MDg6TGFuZ3VhZ2UyMzg=;3;{'_id': ObjectId('645c86512eba3facb617fdc8'), 'id': 'MDg6TGFuZ3VhZ2UyMzg=', 'name': 'F#'}
LAN_kgDNAy0;3;{'_id': ObjectId('645c91272eba3facb617ff26'), 'id': 'LAN_kgDNAy0', 'name': 'Earthly'}
MDg6TGFuZ3VhZ2U0NDY=;3;{'_id': ObjectId('645d2fdcf6f82148bbf55508'), 'id': 'MDg6TGFuZ3VhZ2U0NDY=', 'name': 'Brainfuck'}
MDg6TGFuZ3VhZ2U1NDU=;3;{'_id': ObjectId('645dced1f6f82148bbf56190'), 'id': 'MDg6TGFuZ3VhZ2U1NDU=', 'name': 'Gentoo Ebuild'}
MDg6TGFuZ3VhZ2UxODQ=;3;{'_id': ObjectId('645d98e3f6f82148bbf55e76'), 'id': 'MDg6TGFuZ3VhZ2UxODQ=', 'name': 'Tcl'}
MDg6TGFuZ3VhZ2UzOTg=;3;{'_id': ObjectId('645f11f483df99054d3128bd'), 'id': 'MDg6TGFuZ3VhZ2UzOTg=', 'name': 'GDScript'}
MDg6TGFuZ3VhZ2UyNDY=;3;{'_id': ObjectId('645cb6982eba3facb61801a1'), 'id': 'MDg6TGFuZ3VhZ2UyNDY=', 'name': 'Prolog'}
MDg6TGFuZ3VhZ2UzMDk=;3;{'_id': ObjectId('645d1dfef6f82148bbf5538c'), 'id': 'MDg6TGFuZ3VhZ2UzMDk=', 'name': 'Pascal'}
MDg6TGFuZ3VhZ2U2OTY=;3;{'_id': ObjectId('645de882f6f82148bbf56377'), 'id': 'MDg6TGFuZ3VhZ2U2OTY=', 'name': 'Jsonnet'}
MDg6TGFuZ3VhZ2U0NTI=;3;{'_id': ObjectId('645d98d1f6f82148bbf55e6c'), 'id': 'MDg6TGFuZ3VhZ2U0NTI=', 'name': 'GLSL'}
MDg6TGFuZ3VhZ2UyNDc=;3;{'_id': ObjectId('645ddf02f6f82148bbf562c0'), 'id': 'MDg6TGFuZ3VhZ2UyNDc=', 'name': 'MATLAB'}
MDg6TGFuZ3VhZ2U1Nzk=;3;{'_id': ObjectId('645cf23541954bb7da300ca0'), 'id': 'MDg6TGFuZ3VhZ2U1Nzk=', 'name': 'Literate Haskell'}
MDg6TGFuZ3VhZ2U1NTc=;3;{'_id': ObjectId('645d21f9f6f82148bbf553d1'), 'id': 'MDg6TGFuZ3VhZ2U1NTc=', 'name': 'Haml'}
LAN_kgDNA3Y;3;{'_id': ObjectId('645f824283df99054d3130f4'), 'id': 'LAN_kgDNA3Y', 'name': 'OASv2-json'}
MDg6TGFuZ3VhZ2U1OTY=;3;{'_id': ObjectId('645f129a83df99054d3128ca'), 'id': 'MDg6TGFuZ3VhZ2U1OTY=', 'name': 'Pod'}
MDg6TGFuZ3VhZ2U3OTM=;3;{'_id': ObjectId('645e5999ba1370123db3f84e'), 'id': 'MDg6TGFuZ3VhZ2U3OTM=', 'name': 'Singularity'}
MDg6TGFuZ3VhZ2U0ODM=;3;{'_id': ObjectId('645d2f48f6f82148bbf554e7'), 'id': 'MDg6TGFuZ3VhZ2U0ODM=', 'name': 'Vue'}
MDg6TGFuZ3VhZ2U3MjI=;3;{'_id': ObjectId('645d2fdef6f82148bbf55511'), 'id': 'MDg6TGFuZ3VhZ2U3MjI=', 'name': 'Visual Basic .NET'}
MDg6TGFuZ3VhZ2U4MDM=;2;{'_id': ObjectId('645dd607f6f82148bbf561fb'), 'id': 'MDg6TGFuZ3VhZ2U4MDM=', 'name': 'Wikitext'}
MDg6TGFuZ3VhZ2UzNzY=;2;{'_id': ObjectId('645dd621f6f82148bbf561fd'), 'id': 'MDg6TGFuZ3VhZ2UzNzY=', 'name': 'VCL'}
MDg6TGFuZ3VhZ2U1MzI=;2;{'_id': ObjectId('645ef848ba1370123db40050'), 'id': 'MDg6TGFuZ3VhZ2U1MzI=', 'name': 'Cython'}
MDg6TGFuZ3VhZ2U3NjE=;2;{'_id': ObjectId('645d774ff6f82148bbf55968'), 'id': 'MDg6TGFuZ3VhZ2U3NjE=', 'name': 'Fortran Free Form'}
MDg6TGFuZ3VhZ2U2MTQ=;2;{'_id': ObjectId('645d22bcf6f82148bbf553d3'), 'id': 'MDg6TGFuZ3VhZ2U2MTQ=', 'name': 'Stylus'}
LAN_kgDNA04;2;{'_id': ObjectId('645d9666f6f82148bbf55dc2'), 'id': 'LAN_kgDNA04', 'name': 'Soong'}
MDg6TGFuZ3VhZ2UyOTc=;2;{'_id': ObjectId('645d1340f6f82148bbf55209'), 'id': 'MDg6TGFuZ3VhZ2UyOTc=', 'name': 'Logos'}
MDg6TGFuZ3VhZ2U4MDQ=;2;{'_id': ObjectId('645fce5e83df99054d3134fa'), 'id': 'MDg6TGFuZ3VhZ2U4MDQ=', 'name': 'KakouneScript'}
LAN_kgDNA2o;2;{'_id': ObjectId('645dbab7f6f82148bbf56037'), 'id': 'LAN_kgDNA2o', 'name': 'Visual Basic 6.0'}
MDg6TGFuZ3VhZ2U0MTU=;2;{'_id': ObjectId('645ef8a7ba1370123db40053'), 'id': 'MDg6TGFuZ3VhZ2U0MTU=', 'name': 'NewLisp'}
MDg6TGFuZ3VhZ2UyNTk=;2;{'_id': ObjectId('645f26de83df99054d312a65'), 'id': 'MDg6TGFuZ3VhZ2UyNTk=', 'name': 'Puppet'}
MDg6TGFuZ3VhZ2U1Mjc=;2;{'_id': ObjectId('645f665983df99054d312ead'), 'id': 'MDg6TGFuZ3VhZ2U1Mjc=', 'name': 'CSON'}
LAN_kgDNA4Y;2;{'_id': ObjectId('645d61c2f6f82148bbf55761'), 'id': 'LAN_kgDNA4Y', 'name': 'Snakemake'}
MDg6TGFuZ3VhZ2U3ODY=;2;{'_id': ObjectId('645c8fa22eba3facb617fef0'), 'id': 'MDg6TGFuZ3VhZ2U3ODY=', 'name': 'Jinja'}
LAN_kgDNAyg;2;{'_id': ObjectId('645f743b83df99054d312fab'), 'id': 'LAN_kgDNAyg', 'name': 'E-mail'}
MDg6TGFuZ3VhZ2U0NDE=;2;{'_id': ObjectId('645d79ccf6f82148bbf55a15'), 'id': 'MDg6TGFuZ3VhZ2U0NDE=', 'name': 'Inno Setup'}
MDg6TGFuZ3VhZ2U1NTU=;2;{'_id': ObjectId('645d30c3f6f82148bbf5554f'), 'id': 'MDg6TGFuZ3VhZ2U1NTU=', 'name': 'HTML+PHP'}
LAN_kgDNA2Y;2;{'_id': ObjectId('645e92bbba1370123db3fbb7'), 'id': 'LAN_kgDNA2Y', 'name': 'Elvish'}
MDg6TGFuZ3VhZ2UyODA=;2;{'_id': ObjectId('645df07bf6f82148bbf5645c'), 'id': 'MDg6TGFuZ3VhZ2UyODA=', 'name': 'Max'}
MDg6TGFuZ3VhZ2U1MzE=;2;{'_id': ObjectId('6461938cca0efcf2a2c0b1dc'), 'id': 'MDg6TGFuZ3VhZ2U1MzE=', 'name': 'Creole'}
MDg6TGFuZ3VhZ2U3MjM=;2;{'_id': ObjectId('645f795b83df99054d31306c'), 'id': 'MDg6TGFuZ3VhZ2U3MjM=', 'name': 'VBScript'}
MDg6TGFuZ3VhZ2UzMjU=;2;{'_id': ObjectId('645f298383df99054d312ac6'), 'id': 'MDg6TGFuZ3VhZ2UzMjU=', 'name': 'AutoIt'}
MDg6TGFuZ3VhZ2U2NjY=;2;{'_id': ObjectId('645c8e5f2eba3facb617fec1'), 'id': 'MDg6TGFuZ3VhZ2U2NjY=', 'name': 'Nextflow'}
MDg6TGFuZ3VhZ2UzOTk=;2;{'_id': ObjectId('645d7750f6f82148bbf55972'), 'id': 'MDg6TGFuZ3VhZ2UzOTk=', 'name': 'LOLCODE'}
LAN_kgDNAzw;2;{'_id': ObjectId('645d98e1f6f82148bbf55e73'), 'id': 'LAN_kgDNAzw', 'name': 'Janet'}
MDg6TGFuZ3VhZ2U2MjE=;2;{'_id': ObjectId('645d85e5f6f82148bbf55beb'), 'id': 'MDg6TGFuZ3VhZ2U2MjE=', 'name': 'Turtle'}
MDg6TGFuZ3VhZ2U3OTE=;2;{'_id': ObjectId('645d2fdef6f82148bbf55513'), 'id': 'MDg6TGFuZ3VhZ2U3OTE=', 'name': 'BASIC'}
MDg6TGFuZ3VhZ2U3NTI=;2;{'_id': ObjectId('645d93eff6f82148bbf55d83'), 'id': 'MDg6TGFuZ3VhZ2U3NTI=', 'name': 'Microsoft Developer Studio Project'}
MDg6TGFuZ3VhZ2UzMjE=;2;{'_id': ObjectId('645d2aaef6f82148bbf5548b'), 'id': 'MDg6TGFuZ3VhZ2UzMjE=', 'name': 'ANTLR'}
MDg6TGFuZ3VhZ2U2NzU=;2;{'_id': ObjectId('645e75a6ba1370123db3f96e'), 'id': 'MDg6TGFuZ3VhZ2U2NzU=', 'name': 'Cloud Firestore Security Rules'}
MDg6TGFuZ3VhZ2UxNTk=;2;{'_id': ObjectId('645f08e9ba1370123db400df'), 'id': 'MDg6TGFuZ3VhZ2UxNTk=', 'name': 'OCaml'}
MDg6TGFuZ3VhZ2U0ODU=;2;{'_id': ObjectId('64626a479aca2ffb40f3b3ae'), 'id': 'MDg6TGFuZ3VhZ2U0ODU=', 'name': 'RAML'}
MDg6TGFuZ3VhZ2UxNTQ=;2;{'_id': ObjectId('645d9056f6f82148bbf55d23'), 'id': 'MDg6TGFuZ3VhZ2UxNTQ=', 'name': 'Arc'}
MDg6TGFuZ3VhZ2U2NjU=;2;{'_id': ObjectId('6462598d9aca2ffb40f3b1f7'), 'id': 'MDg6TGFuZ3VhZ2U2NjU=', 'name': 'Solidity'}
MDg6TGFuZ3VhZ2UzMDM=;1;{'_id': ObjectId('645ddf03f6f82148bbf562c2'), 'id': 'MDg6TGFuZ3VhZ2UzMDM=', 'name': 'M'}
MDg6TGFuZ3VhZ2U3MTk=;1;{'_id': ObjectId('645fce6683df99054d3134fd'), 'id': 'MDg6TGFuZ3VhZ2U3MTk=', 'name': 'V'}
MDg6TGFuZ3VhZ2UzNTU=;1;{'_id': ObjectId('645cc55a2eba3facb6180308'), 'id': 'MDg6TGFuZ3VhZ2UzNTU=', 'name': 'Mathematica'}
MDg6TGFuZ3VhZ2U1Nzg=;1;{'_id': ObjectId('645e95ebba1370123db3fc0a'), 'id': 'MDg6TGFuZ3VhZ2U1Nzg=', 'name': 'Literate CoffeeScript'}
MDg6TGFuZ3VhZ2U3NDQ=;1;{'_id': ObjectId('645e910cba1370123db3fb46'), 'id': 'MDg6TGFuZ3VhZ2U3NDQ=', 'name': 'cURL Config'}
MDg6TGFuZ3VhZ2UzNzI=;1;{'_id': ObjectId('645f17fd83df99054d31296f'), 'id': 'MDg6TGFuZ3VhZ2UzNzI=', 'name': 'SAS'}
MDg6TGFuZ3VhZ2U2NjQ=;1;{'_id': ObjectId('64633e663b892b592c1fb6e8'), 'id': 'MDg6TGFuZ3VhZ2U2NjQ=', 'name': 'RPC'}
MDg6TGFuZ3VhZ2U2MDc=;1;{'_id': ObjectId('646254bb9aca2ffb40f3b1a7'), 'id': 'MDg6TGFuZ3VhZ2U2MDc=', 'name': 'STON'}
MDg6TGFuZ3VhZ2U2MjU=;1;{'_id': ObjectId('645d16faf6f82148bbf552a5'), 'id': 'MDg6TGFuZ3VhZ2U2MjU=', 'name': 'Wavefront Material'}
MDg6TGFuZ3VhZ2UyNzk=;1;{'_id': ObjectId('645dd4adf6f82148bbf561e9'), 'id': 'MDg6TGFuZ3VhZ2UyNzk=', 'name': 'AppleScript'}
MDg6TGFuZ3VhZ2UzNTE=;1;{'_id': ObjectId('645f742a83df99054d312fa8'), 'id': 'MDg6TGFuZ3VhZ2UzNTE=', 'name': 'Stata'}
LAN_kgDNA0Q;1;{'_id': ObjectId('6461939aca0efcf2a2c0b1eb'), 'id': 'LAN_kgDNA0Q', 'name': 'Berry'}
MDg6TGFuZ3VhZ2U2NzA=;1;{'_id': ObjectId('64623a849aca2ffb40f3b01d'), 'id': 'MDg6TGFuZ3VhZ2U2NzA=', 'name': 'YARA'}
MDg6TGFuZ3VhZ2UzOTE=;1;{'_id': ObjectId('645de4f7f6f82148bbf56355'), 'id': 'MDg6TGFuZ3VhZ2UzOTE=', 'name': 'OpenSCAD'}
MDg6TGFuZ3VhZ2U3MTE=;1;{'_id': ObjectId('645df37df6f82148bbf564f0'), 'id': 'MDg6TGFuZ3VhZ2U3MTE=', 'name': 'ZenScript'}
MDg6TGFuZ3VhZ2UyNDE=;1;{'_id': ObjectId('645f197c83df99054d3129a0'), 'id': 'MDg6TGFuZ3VhZ2UyNDE=', 'name': 'XQuery'}
MDg6TGFuZ3VhZ2UyOTM=;1;{'_id': ObjectId('64625b789aca2ffb40f3b264'), 'id': 'MDg6TGFuZ3VhZ2UyOTM=', 'name': 'Forth'}
MDg6TGFuZ3VhZ2U1MTg=;1;{'_id': ObjectId('645ea82cba1370123db3fcbf'), 'id': 'MDg6TGFuZ3VhZ2U1MTg=', 'name': 'ASN.1'}
MDg6TGFuZ3VhZ2UxNTA=;1;{'_id': ObjectId('645d946ff6f82148bbf55d88'), 'id': 'MDg6TGFuZ3VhZ2UxNTA=', 'name': 'ActionScript'}
MDg6TGFuZ3VhZ2UzODA=;1;{'_id': ObjectId('645d72fbf6f82148bbf55844'), 'id': 'MDg6TGFuZ3VhZ2UzODA=', 'name': 'Isabelle'}
MDg6TGFuZ3VhZ2U0OTA=;1;{'_id': ObjectId('645d7a32f6f82148bbf55a69'), 'id': 'MDg6TGFuZ3VhZ2U0OTA=', 'name': 'MAXScript'}
MDg6TGFuZ3VhZ2U0OTY=;1;{'_id': ObjectId('645d97c5f6f82148bbf55e5b'), 'id': 'MDg6TGFuZ3VhZ2U0OTY=', 'name': 'M4'}
MDg6TGFuZ3VhZ2UyNDg=;1;{'_id': ObjectId('645f4fcd83df99054d312cc3'), 'id': 'MDg6TGFuZ3VhZ2UyNDg=', 'name': 'Rebol'}
MDg6TGFuZ3VhZ2UxODg=;1;{'_id': ObjectId('64625a2b9aca2ffb40f3b236'), 'id': 'MDg6TGFuZ3VhZ2UxODg=', 'name': 'Verilog'}
MDg6TGFuZ3VhZ2U0NjQ=;1;{'_id': ObjectId('645fa2f583df99054d3132d4'), 'id': 'MDg6TGFuZ3VhZ2U0NjQ=', 'name': 'SaltStack'}
MDg6TGFuZ3VhZ2U0NzA=;1;{'_id': ObjectId('645ddecef6f82148bbf5629c'), 'id': 'MDg6TGFuZ3VhZ2U0NzA=', 'name': 'Module Management System'}
MDg6TGFuZ3VhZ2U1NjM=;1;{'_id': ObjectId('646296556de9ca58e7bfbc31'), 'id': 'MDg6TGFuZ3VhZ2U1NjM=', 'name': 'JSONLD'}
LAN_kgDNA1w;1;{'_id': ObjectId('64618f8cca0efcf2a2c0b169'), 'id': 'LAN_kgDNA1w', 'name': 'Wren'}
MDg6TGFuZ3VhZ2U1MzY=;1;{'_id': ObjectId('645d8460f6f82148bbf55bb2'), 'id': 'MDg6TGFuZ3VhZ2U1MzY=', 'name': 'EBNF'}
LAN_kgDNA1M;1;{'_id': ObjectId('645f307c83df99054d312b78'), 'id': 'LAN_kgDNA1M', 'name': 'JetBrains MPS'}
MDg6TGFuZ3VhZ2U3NzY=;1;{'_id': ObjectId('645e80ecba1370123db3fa66'), 'id': 'MDg6TGFuZ3VhZ2U3NzY=', 'name': 'Mustache'}
MDg6TGFuZ3VhZ2U4MDY=;1;{'_id': ObjectId('645dd788f6f82148bbf56235'), 'id': 'MDg6TGFuZ3VhZ2U4MDY=', 'name': 'Fennel'}
MDg6TGFuZ3VhZ2UyMzc=;1;{'_id': ObjectId('645e8f79ba1370123db3fb0f'), 'id': 'MDg6TGFuZ3VhZ2UyMzc=', 'name': 'Vala'}
MDg6TGFuZ3VhZ2U3MDU=;1;{'_id': ObjectId('646266769aca2ffb40f3b35a'), 'id': 'MDg6TGFuZ3VhZ2U3MDU=', 'name': 'TSQL'}
MDg6TGFuZ3VhZ2U0MDY=;1;"{'_id': ObjectId('64627d099aca2ffb40f3b5e8'), 'id': 'MDg6TGFuZ3VhZ2U0MDY=', 'name': ""Cap'n Proto""}"
LAN_kgDNAzM;1;{'_id': ObjectId('645df5d5f6f82148bbf56567'), 'id': 'LAN_kgDNAzM', 'name': 'Euphoria'}
MDg6TGFuZ3VhZ2UzMjQ=;1;{'_id': ObjectId('645f9e6c83df99054d313278'), 'id': 'MDg6TGFuZ3VhZ2UzMjQ=', 'name': 'DM'}
MDg6TGFuZ3VhZ2U0NTM=;1;{'_id': ObjectId('645f8e9383df99054d3131a8'), 'id': 'MDg6TGFuZ3VhZ2U0NTM=', 'name': 'PLSQL'}
MDg6TGFuZ3VhZ2U2Nzc=;1;{'_id': ObjectId('645df91bf6f82148bbf5659d'), 'id': 'MDg6TGFuZ3VhZ2U2Nzc=', 'name': 'X BitMap'}
MDg6TGFuZ3VhZ2U2MTA=;1;{'_id': ObjectId('645cbc6a2eba3facb6180218'), 'id': 'MDg6TGFuZ3VhZ2U2MTA=', 'name': 'Sass'}
LAN_kgDNA3g;1;{'_id': ObjectId('645f27df83df99054d312a92'), 'id': 'LAN_kgDNA3g', 'name': 'OASv3-json'}
LAN_kgDNA1U;1;{'_id': ObjectId('645fcdfa83df99054d3134cb'), 'id': 'LAN_kgDNA1U', 'name': 'Bikeshed'}
MDg6TGFuZ3VhZ2U3Mzg=;1;{'_id': ObjectId('645df2a8f6f82148bbf564b7'), 'id': 'MDg6TGFuZ3VhZ2U3Mzg=', 'name': 'Readline Config'}
MDg6TGFuZ3VhZ2U3NDc=;1;{'_id': ObjectId('645fcd3583df99054d313497'), 'id': 'MDg6TGFuZ3VhZ2U3NDc=', 'name': 'SWIG'}
MDg6TGFuZ3VhZ2U3MzU=;1;{'_id': ObjectId('646252d09aca2ffb40f3b149'), 'id': 'MDg6TGFuZ3VhZ2U3MzU=', 'name': 'OpenStep Property List'}
MDg6TGFuZ3VhZ2UzMTY=;1;{'_id': ObjectId('645e6882ba1370123db3f8d1'), 'id': 'MDg6TGFuZ3VhZ2UzMTY=', 'name': 'Elm'}
MDg6TGFuZ3VhZ2U1ODk=;1;{'_id': ObjectId('645dce5cf6f82148bbf5618c'), 'id': 'MDg6TGFuZ3VhZ2U1ODk=', 'name': 'OpenRC runscript'}
MDg6TGFuZ3VhZ2U2NjI=;1;{'_id': ObjectId('6461939bca0efcf2a2c0b1ef'), 'id': 'MDg6TGFuZ3VhZ2U2NjI=', 'name': 'X PixMap'}
MDg6TGFuZ3VhZ2U3NDU=;1;{'_id': ObjectId('645df2a7f6f82148bbf564b5'), 'id': 'MDg6TGFuZ3VhZ2U3NDU=', 'name': 'dircolors'}
MDg6TGFuZ3VhZ2U0MjM=;1;{'_id': ObjectId('64625b109aca2ffb40f3b239'), 'id': 'MDg6TGFuZ3VhZ2U0MjM=', 'name': 'PostScript'}
MDg6TGFuZ3VhZ2UzNjg=;1;{'_id': ObjectId('646335f03b892b592c1fb669'), 'id': 'MDg6TGFuZ3VhZ2UzNjg=', 'name': 'Cuda'}
MDg6TGFuZ3VhZ2U3MDI=;1;{'_id': ObjectId('645df2a8f6f82148bbf564b9'), 'id': 'MDg6TGFuZ3VhZ2U3MDI=', 'name': 'nanorc'}
MDg6TGFuZ3VhZ2UxODE=;1;{'_id': ObjectId('64625ff09aca2ffb40f3b2df'), 'id': 'MDg6TGFuZ3VhZ2UxODE=', 'name': 'SuperCollider'}
MDg6TGFuZ3VhZ2UzMTI=;1;{'_id': ObjectId('645f795983df99054d31305a'), 'id': 'MDg6TGFuZ3VhZ2UzMTI=', 'name': 'COBOL'}
MDg6TGFuZ3VhZ2UzMTU=;1;{'_id': ObjectId('64625b769aca2ffb40f3b25b'), 'id': 'MDg6TGFuZ3VhZ2UzMTU=', 'name': 'J'}
MDg6TGFuZ3VhZ2UyNDA=;1;{'_id': ObjectId('645d774ef6f82148bbf5595b'), 'id': 'MDg6TGFuZ3VhZ2UyNDA=', 'name': 'Ada'}
LAN_kgDNAzs;1;{'_id': ObjectId('64626f169aca2ffb40f3b432'), 'id': 'LAN_kgDNAzs', 'name': 'DenizenScript'}
MDg6TGFuZ3VhZ2U3NjU=;1;{'_id': ObjectId('645d329ef6f82148bbf55569'), 'id': 'MDg6TGFuZ3VhZ2U3NjU=', 'name': 'ASL'}
MDg6TGFuZ3VhZ2U4MDc=;1;{'_id': ObjectId('6462aafe6de9ca58e7bfbdf6'), 'id': 'MDg6TGFuZ3VhZ2U4MDc=', 'name': 'Valve Data Format'}
MDg6TGFuZ3VhZ2U2Mjc=;1;{'_id': ObjectId('645d69a0f6f82148bbf5577f'), 'id': 'MDg6TGFuZ3VhZ2U2Mjc=', 'name': 'World of Warcraft Addon Data'}
MDg6TGFuZ3VhZ2UzMTk=;1;{'_id': ObjectId('645de27ff6f82148bbf562fe'), 'id': 'MDg6TGFuZ3VhZ2UzMTk=', 'name': 'RobotFramework'}
MDg6TGFuZ3VhZ2U1MjM=;1;{'_id': ObjectId('645cb75f2eba3facb61801b1'), 'id': 'MDg6TGFuZ3VhZ2U1MjM=', 'name': 'Blade'}
LAN_kgDNA0A;1;{'_id': ObjectId('646381cf3b892b592c1fb9d0'), 'id': 'LAN_kgDNA0A', 'name': 'Debian Package Control File'}
MDg6TGFuZ3VhZ2UxNzg=;1;{'_id': ObjectId('645e61abba1370123db3f8a8'), 'id': 'MDg6TGFuZ3VhZ2UxNzg=', 'name': 'Fortran'}
MDg6TGFuZ3VhZ2U1NjA=;1;{'_id': ObjectId('645d72fbf6f82148bbf55846'), 'id': 'MDg6TGFuZ3VhZ2U1NjA=', 'name': 'Isabelle ROOT'}
MDg6TGFuZ3VhZ2U3MTM=;1;{'_id': ObjectId('645ddbdcf6f82148bbf56271'), 'id': 'MDg6TGFuZ3VhZ2U3MTM=', 'name': 'SSH Config'}
MDg6TGFuZ3VhZ2UzNTY=;1;{'_id': ObjectId('645f66d983df99054d312ed9'), 'id': 'MDg6TGFuZ3VhZ2UzNTY=', 'name': 'SourcePawn'}
MDg6TGFuZ3VhZ2U3NDg=;1;{'_id': ObjectId('646276769aca2ffb40f3b52f'), 'id': 'MDg6TGFuZ3VhZ2U3NDg=', 'name': 'Raku'}
MDg6TGFuZ3VhZ2UzOTU=;1;{'_id': ObjectId('64625d279aca2ffb40f3b278'), 'id': 'MDg6TGFuZ3VhZ2UzOTU=', 'name': 'Cycript'}
MDg6TGFuZ3VhZ2U1MzQ=;1;{'_id': ObjectId('645e9705ba1370123db3fc41'), 'id': 'MDg6TGFuZ3VhZ2U1MzQ=', 'name': 'DNS Zone'}
